date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:45:06	133116/133116	---MC-	200	added ('OK')	text/html	date:Wed,%2004%20Jan%202023%2015:51:25%20GMT	https://www.munipozuzo.com.pe/transparencia/planeamiento-y-organizacion/pei	C:/My%20Web%20Sites/MUNI/www.munipozuzo.com.pe/transparencia/planeamiento-y-organizacion/pei.html	(from https://www.munipozuzo.com.pe/)
10:45:07	138638/138638	---MC-	200	added ('OK')	text/html	date:Wed,%2004%20Jan%202023%2015:51:26%20GMT	https://www.munipozuzo.com.pe/transparencia/planeamiento-y-organizacion/indicadores-de-desempe%c3%b1o	C:/My%20Web%20Sites/MUNI/www.munipozuzo.com.pe/transparencia/planeamiento-y-organizacion/indicadores-de-desempe%c3%b1o.html	(from https://www.munipozuzo.com.pe/)
10:45:07	129553/129553	---MC-	200	added ('OK')	text/html	date:Wed,%2004%20Jan%202023%2015:51:26%20GMT	https://www.munipozuzo.com.pe/transparencia/planeamiento-y-organizacion/manual-de-procedimientos	C:/My%20Web%20Sites/MUNI/www.munipozuzo.com.pe/transparencia/planeamiento-y-organizacion/manual-de-procedimientos.html	(from https://www.munipozuzo.com.pe/)
10:45:08	132153/132153	---MC-	200	added ('OK')	text/html	date:Wed,%2004%20Jan%202023%2015:51:27%20GMT	https://www.munipozuzo.com.pe/transparencia/planeamiento-y-organizacion/plan-operativo-informatico	C:/My%20Web%20Sites/MUNI/www.munipozuzo.com.pe/transparencia/planeamiento-y-organizacion/plan-operativo-informatico.html	(from https://www.munipozuzo.com.pe/)
10:45:09	224303/224303	---MC-	200	added ('OK')	text/html	date:Wed,%2004%20Jan%202023%2015:51:28%20GMT	https://www.munipozuzo.com.pe/transparencia/informacin-presupuestal/pia---pim	C:/My%20Web%20Sites/MUNI/www.munipozuzo.com.pe/transparencia/informacin-presupuestal/pia---pim.html	(from https://www.munipozuzo.com.pe/)
10:45:09	133335/133335	---MC-	200	added ('OK')	text/html	date:Wed,%2004%20Jan%202023%2015:51:28%20GMT	https://www.munipozuzo.com.pe/transparencia/informacin-presupuestal/balance-general	C:/My%20Web%20Sites/MUNI/www.munipozuzo.com.pe/transparencia/informacin-presupuestal/balance-general.html	(from https://www.munipozuzo.com.pe/)
10:45:10	5534/5534	---M--	200	added ('OK')	image/png	date:Thu,%2013%20Jan%202022%2006:22:04%20GMT	https://www.munipozuzo.com.pe//app/assets/img/portal-transparencia.png	C:/My%20Web%20Sites/MUNI/www.munipozuzo.com.pe/app/assets/img/portal-transparencia.png	(from https://www.munipozuzo.com.pe/)
10:45:10	126723/126723	---MC-	200	added ('OK')	text/html	date:Wed,%2004%20Jan%202023%2015:51:29%20GMT	https://www.munipozuzo.com.pe/contactanos	C:/My%20Web%20Sites/MUNI/www.munipozuzo.com.pe/contactanos.html	(from https://www.munipozuzo.com.pe/)
10:45:13	1245883/1245883	---MCZ	200	added ('OK')	image/png	date:Wed,%2004%20Jan%202023%2015:51:30%20GMT	https://cmsapi.emilima.com.pe/api/files/6SVwToIUJEI8qmdzExAawJtN6tIs6gLVZntN5Lwg.png	C:/My%20Web%20Sites/MUNI/cmsapi.emilima.com.pe/api/files/6SVwToIUJEI8qmdzExAawJtN6tIs6gLVZntN5Lwg.png	(from https://www.munipozuzo.com.pe/)
10:45:14	722534/722534	---MCZ	200	added ('OK')	image/png	date:Wed,%2004%20Jan%202023%2015:51:33%20GMT	https://cmsapi.emilima.com.pe/api/files/vrFrb8tUF5hAjmjcF903aJELIkjVW4BquKEpDUhL.png	C:/My%20Web%20Sites/MUNI/cmsapi.emilima.com.pe/api/files/vrFrb8tUF5hAjmjcF903aJELIkjVW4BquKEpDUhL.png	(from https://www.munipozuzo.com.pe/)
10:45:14	1421267/1421267	---MCZ	200	added ('OK')	image/png	date:Wed,%2004%20Jan%202023%2015:51:32%20GMT	https://cmsapi.emilima.com.pe/api/files/Mgnn4ufKPIKn8gAjeiNltSVre3b00yzFpEYzow38.png	C:/My%20Web%20Sites/MUNI/cmsapi.emilima.com.pe/api/files/Mgnn4ufKPIKn8gAjeiNltSVre3b00yzFpEYzow38.png	(from https://www.munipozuzo.com.pe/)
10:45:14	1758/1758	---MCZ	200	added ('OK')	image/png	date:Wed,%2004%20Jan%202023%2015:51:33%20GMT	https://cmsapi.emilima.com.pe/api/files/8jiqLVixXUBp6DcrUU5PLOPU6ISxHEkkuVFVtsEv.png	C:/My%20Web%20Sites/MUNI/cmsapi.emilima.com.pe/api/files/8jiqLVixXUBp6DcrUU5PLOPU6ISxHEkkuVFVtsEv.png	(from https://www.munipozuzo.com.pe/)
10:45:14	1728/1728	---MCZ	200	added ('OK')	image/png	date:Wed,%2004%20Jan%202023%2015:51:34%20GMT	https://cmsapi.emilima.com.pe/api/files/0ARBa35d9oCp1m5njEw7z2sgUd7aAqZbo0WWw6QW.png	C:/My%20Web%20Sites/MUNI/cmsapi.emilima.com.pe/api/files/0ARBa35d9oCp1m5njEw7z2sgUd7aAqZbo0WWw6QW.png	(from https://www.munipozuzo.com.pe/)
